Employee_ID,Employee_Name,Department,Designation,Experience_Level,Location,Assessment_Date,Skill_Name,Skill_Category,Current_Skill_Level,Required_Skill_Level,Skill_Gap,Training_Priority,Training_Recommendation,Training_Method,Estimated_Training_Hours,Estimated_Training_Cost_USD,Proposed_Timeline,Overall_Performance_Rating,Technical_Performance_Rating,Behavioral_Performance_Rating,Manager_Approval,Business_Impact,Training_Status,Last_Training_Date,Trainer_Assigned,Training_Completion_Percentage,Post_Training_Assessment_Score
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-26,Docker,Technical,5,4,0,Low,Maintain current Docker proficiency,Mentoring,0,0,6 months,2,2,1,Approved with Conditions,High - Required for client engagement,Completed,2025-04-19,External Trainer,97,
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-11,Node.js,Technical,1,3,2,High,Intensive Node.js training required,Online Course,44,6204,3 months,2,2,1,Approved with Conditions,Low - Nice to have,Not Started,2024-11-14,Internal Trainer,48,95.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-08-04,Spring Boot,Technical,3,5,2,High,Intensive Spring Boot training required,Workshop,59,11623,2 months,2,2,1,Approved with Conditions,High - Critical for project delivery,In Progress,2025-02-09,Internal Trainer,29,84.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-14,Express.js,Technical,3,4,1,Medium,Refresher training for Express.js,Online Course,19,2736,4 months,2,2,1,Approved,Low - Nice to have,Not Started,2024-08-30,External Trainer,68,70.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-10,MongoDB,Technical,4,4,0,Low,Maintain current MongoDB proficiency,Mentoring,4,768,6 months,2,2,1,Approved with Conditions,Low - Nice to have,Not Started,2025-03-12,Internal Trainer,40,
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-16,PostgreSQL,Technical,3,3,0,Low,Maintain current PostgreSQL proficiency,Mentoring,3,585,As needed,2,2,1,Pending,Medium - Improves efficiency,Cancelled,2024-12-17,TBD,18,
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-08,Azure,Technical,2,3,1,Medium,Refresher training for Azure,Mentoring,25,2925,6 months,2,2,1,Approved with Conditions,High - Required for client engagement,Cancelled,2025-01-03,External Trainer,17,
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-24,Time Management,Behavioral,1,3,2,High,Comprehensive Time Management development program,Workshop,18,1620,3 months,2,2,1,Approved with Conditions,High - Critical for project delivery,Cancelled,2024-09-05,TBD,67,
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-08-02,Team Collaboration,Behavioral,5,3,0,Low,Maintain Team Collaboration effectiveness,Mentoring,1,187,12 months,2,2,1,Approved with Conditions,Low - Nice to have,Completed,2024-11-27,External Trainer,58,76.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-10,Learning Attitude,Untrainable,5,3,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,As needed,2,2,1,Approved,Low - Nice to have,In Progress,2025-04-20,Online Platform,97,94.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-07,RESTful APIs,Technical,5,3,0,Low,Maintain current RESTful APIs proficiency,Mentoring,9,1188,12 months,2,2,1,Approved,High - Critical for project delivery,Completed,2025-01-31,External Trainer,7,96.0
EMP0001,Employee_EMP0001,Backend Development,Junior Developer,5-8 years,Hyderabad,2025-07-19,Leadership,Behavioral,1,3,2,High,Comprehensive Leadership development program,Mentoring,38,2546,2 months,2,2,1,Approved,High - Required for client engagement,In Progress,2025-02-22,TBD,27,79.0
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-07-28,Communication,Behavioral,1,3,2,High,Comprehensive Communication development program,Workshop,17,2278,2 months,5,4,1,Approved with Conditions,Medium - Improves efficiency,Cancelled,2025-03-20,External Trainer,92,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-07-25,Git/GitHub,Technical,2,4,2,High,Intensive Git/GitHub training required,Certification,46,3404,2 months,5,4,1,Approved with Conditions,High - Required for client engagement,Cancelled,2024-12-09,TBD,93,66.0
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-07-19,Emotional Intelligence,Behavioral,1,4,3,Critical,Comprehensive Emotional Intelligence development program,Mentoring,38,2926,1 month,5,4,1,Approved,Medium - Improves efficiency,Cancelled,2025-04-27,TBD,23,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-07-16,Conflict Resolution,Behavioral,4,3,0,Low,Maintain Conflict Resolution effectiveness,Mentoring,1,163,As needed,5,4,1,Approved,High - Critical for project delivery,Not Started,2025-05-21,External Trainer,21,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-08-05,Test-Driven Development,Technical,4,4,0,Low,Maintain current Test-Driven Development proficiency,Mentoring,3,456,6 months,5,4,1,Approved,High - Required for client engagement,Cancelled,2025-02-22,TBD,36,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-08-04,Node.js,Technical,5,5,0,Low,Maintain current Node.js proficiency,Mentoring,7,623,6 months,5,4,1,Pending,Medium - Improves efficiency,Not Started,2025-01-28,Internal Trainer,6,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-08-03,React,Technical,5,5,0,Low,Maintain current React proficiency,Mentoring,2,128,As needed,5,4,1,Approved,Medium - Improves efficiency,Not Started,2025-03-09,TBD,15,97.0
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-07-15,Cultural Fit,Untrainable,5,3,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,As needed,5,4,1,Approved,High - Required for client engagement,Completed,2025-02-24,External Trainer,85,
EMP0002,Employee_EMP0002,Business Analysis,Data Analyst,5-8 years,Chennai,2025-08-05,Kubernetes,Technical,2,4,2,High,Intensive Kubernetes training required,Certification,45,5670,3 months,5,4,1,Pending,High - Critical for project delivery,Cancelled,2024-08-23,Internal Trainer,9,92.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-17,Conflict Resolution,Behavioral,1,3,2,High,Comprehensive Conflict Resolution development program,Workshop,23,1771,2 months,2,3,3,Pending,Low - Nice to have,In Progress,2025-01-13,External Trainer,87,
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-10,Spring Boot,Technical,5,4,0,Low,Maintain current Spring Boot proficiency,Mentoring,4,252,6 months,2,3,3,Approved with Conditions,High - Required for client engagement,Completed,2025-06-15,Internal Trainer,42,100.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-08-02,System Design,Technical,3,3,0,Low,Maintain current System Design proficiency,Mentoring,7,1337,As needed,2,3,3,Pending,High - Critical for project delivery,Not Started,2025-04-22,Internal Trainer,47,87.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-15,Adaptability,Behavioral,2,3,1,Medium,Soft skills enhancement for Adaptability,Mentoring,12,720,4 months,2,3,3,Approved,Medium - Improves efficiency,Not Started,2025-01-07,TBD,79,75.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-11,Angular,Technical,2,3,1,Medium,Refresher training for Angular,Online Course,21,1995,6 months,2,3,3,Pending,High - Required for client engagement,In Progress,2025-02-21,External Trainer,100,84.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-29,Presentation Skills,Behavioral,1,4,3,Critical,Comprehensive Presentation Skills development program,Workshop,22,3674,6 weeks,2,3,3,Pending,Medium - Improves efficiency,Not Started,2025-03-31,TBD,42,
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-08,Git/GitHub,Technical,1,4,3,Critical,Intensive Git/GitHub training required,Hands-on Project,42,7854,6 weeks,2,3,3,Approved,High - Critical for project delivery,Completed,2025-04-07,Online Platform,4,98.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-17,Resilience,Untrainable,4,4,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,As needed,2,3,3,Pending,High - Required for client engagement,Not Started,2024-12-22,External Trainer,32,87.0
EMP0003,Employee_EMP0003,DevOps,Tech Lead,5-8 years,Bangalore,2025-07-17,Node.js,Technical,1,5,4,Critical,Intensive Node.js training required,Certification,54,7722,6 weeks,2,3,3,Approved,Low - Nice to have,Completed,2025-05-05,Online Platform,64,
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-22,Team Collaboration,Behavioral,1,4,3,Critical,Comprehensive Team Collaboration development program,Workshop,24,3840,2 months,3,5,2,Approved with Conditions,Low - Nice to have,Cancelled,2024-11-23,External Trainer,65,
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-08-03,React,Technical,2,5,3,Critical,Intensive React training required,Workshop,25,4525,2 months,3,5,2,Approved with Conditions,Low - Nice to have,In Progress,2025-01-30,External Trainer,25,61.0
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-14,Node.js,Technical,1,3,2,High,Intensive Node.js training required,Online Course,50,8300,3 months,3,5,2,Approved with Conditions,Medium - Improves efficiency,Cancelled,2024-10-27,TBD,31,60.0
